Date,Price,Open,High,Low,Vol,Change
5-Sep-05,"1,610.29","1,593.47","1,616.49","1,593.47",-,1.11%
2-Sep-05,"1,592.68","1,612.94","1,624.33","1,589.04",-,-1.26%
1-Sep-05,"1,612.94","1,588.17","1,615.08","1,585.29",-,1.98%
31-Aug-05,"1,581.65","1,590.22","1,597.56","1,576.08",-,-0.49%
30-Aug-05,"1,589.42","1,584.00","1,597.86","1,577.54",-,0.34%
29-Aug-05,"1,584.00","1,568.22","1,584.95","1,567.39",-,1.23%
26-Aug-05,"1,564.76","1,574.66","1,579.89","1,561.69",-,-0.53%
25-Aug-05,"1,573.08","1,536.78","1,573.08","1,536.78",-,2.41%
24-Aug-05,"1,535.99","1,526.12","1,542.96","1,526.12",-,0.67%
23-Aug-05,"1,525.82","1,532.72","1,540.53","1,522.43",-,-0.44%
22-Aug-05,"1,532.64","1,495.42","1,533.81","1,495.42",-,2.49%
19-Aug-05,"1,495.42","1,487.01","1,495.42","1,470.56",-,0.72%
18-Aug-05,"1,484.66","1,491.49","1,501.57","1,481.92",-,-0.41%
17-Aug-05,"1,490.84","1,469.58","1,497.56","1,467.83",-,1.35%
16-Aug-05,"1,470.98","1,480.53","1,487.42","1,466.38",-,-0.56%
12-Aug-05,"1,479.33","1,492.39","1,492.39","1,467.88",-,-1.15%
11-Aug-05,"1,496.59","1,509.23","1,513.01","1,485.01",-,-0.84%
10-Aug-05,"1,509.23","1,505.44","1,516.34","1,503.65",-,0.35%
9-Aug-05,"1,504.04","1,494.26","1,507.22","1,483.19",-,0.67%
8-Aug-05,"1,494.00","1,520.50","1,530.32","1,484.96",-,-1.57%
5-Aug-05,"1,517.90","1,526.85","1,531.32","1,505.13",-,-0.59%
4-Aug-05,"1,526.85","1,507.73","1,526.95","1,506.33",-,1.23%
3-Aug-05,"1,508.23","1,535.29","1,541.45","1,503.10",-,-1.78%
2-Aug-05,"1,535.51","1,523.91","1,541.34","1,523.91",-,0.84%
1-Aug-05,"1,522.71","1,517.30","1,527.34","1,507.32",-,1.00%
29-Jul-05,"1,507.59","1,514.35","1,521.13","1,498.53",-,-0.24%
28-Jul-05,"1,511.16","1,508.00","1,521.65","1,505.70",-,0.55%
27-Jul-05,"1,502.93","1,479.65","1,508.07","1,477.18",-,1.57%
26-Jul-05,"1,479.65","1,453.93","1,482.07","1,447.15",-,1.77%
25-Jul-05,"1,453.93","1,484.37","1,484.37","1,448.79",-,-1.88%
22-Jul-05,"1,481.79","1,478.99","1,484.09","1,475.86",-,0.19%
21-Jul-05,"1,478.99","1,489.69","1,494.79","1,475.25",-,-0.59%
20-Jul-05,"1,487.81","1,492.45","1,504.38","1,482.41",-,-0.29%
19-Jul-05,"1,492.18","1,473.82","1,492.77","1,463.30",-,1.30%
18-Jul-05,"1,473.03","1,462.94","1,478.24","1,460.43",-,0.69%
15-Jul-05,"1,462.94","1,463.77","1,478.21","1,457.78",-,-0.25%
14-Jul-05,"1,466.57","1,424.55","1,466.57","1,424.55",-,3.04%
13-Jul-05,"1,423.36","1,418.11","1,423.36","1,404.55",-,0.07%
12-Jul-05,"1,422.31","1,411.64","1,426.55","1,408.09",-,0.85%
11-Jul-05,"1,410.36","1,386.77","1,413.41","1,386.77",-,1.70%
8-Jul-05,"1,386.77","1,392.49","1,409.73","1,386.46",-,-0.31%
7-Jul-05,"1,391.10","1,354.29","1,391.10","1,343.26",-,2.57%
6-Jul-05,"1,356.22","1,380.68","1,383.72","1,354.31",-,-1.87%
5-Jul-05,"1,382.08","1,368.11","1,392.12","1,368.11",-,1.11%
4-Jul-05,"1,366.92","1,361.84","1,374.03","1,356.60",-,0.41%
1-Jul-05,"1,361.32","1,366.56","1,380.07","1,340.09",-,-0.45%
